names,scores,logfoldchanges,pvals,pvals_adj,is_TE
MLT1A:TE,5.6575193,0.13485616,1.535765110181822e-08,1.8793737942391966e-07,True
Tigger8:TE,3.7466576,0.13111085,0.0001792063749953,0.0014305571316027,True
L1PA16:TE,17.463667,0.13095066,2.709549255904745e-68,1.7216808221187551e-66,True
L1MC5:TE,10.4209175,0.12955111,1.9902299446568823e-25,5.22413633071289e-24,True
Charlie18a:TE,3.8973064,0.12596768,9.726849122332131e-05,0.0008042378277075,True
L1PB4:TE,9.24183,0.12468203,2.4231667483277166e-20,5.4308931111848995e-19,True
MLT1A1:TE,4.9351335,0.124196716,8.00960606581244e-07,8.422977967389533e-06,True
Tigger17a:TE,5.098584,0.12338559,3.422036993917919e-07,3.719686142936819e-06,True
L1ME3Cz:TE,9.96254,0.12320278,2.223093125194549e-23,5.535630810084687e-22,True
MER53:TE,2.8904507,0.12101509,0.0038468985947945,0.0244591786051511,True
MLT1A0:TE,5.587014,0.12010434,2.3100689503322386e-08,2.783846122784099e-07,True
L1MA2:TE,13.433285,0.11762112,3.8590592894224666e-41,1.5023837686993814e-39,True
AluYh3a3:TE,3.4278252,0.11741461,0.0006084371740897,0.0044743281789254,True
MER117:TE,2.9417143,0.115540825,0.0032640088689188,0.0210514563423507,True
L1M7:TE,5.784814,0.11460861,7.259265241720804e-09,9.128753842674425e-08,True
Charlie2b:TE,4.8254876,0.11403713,1.3966118541465103e-06,1.4277268461351486e-05,True
THE1A:TE,4.403913,0.113701954,1.0631566774573094e-05,9.96046569232526e-05,True
