names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
LTR14,-0.12206409,-1.0458522,0.9028482628897636,1.0,LTR14,LTR,LTR
LTR27C,-0.12384345,-0.37666288,0.9014392302676802,1.0,LTR27C,LTR,LTR
MER61C,-0.12669042,-0.2295657,0.8991854256621702,1.0,MER61C,LTR,LTR
LTR46,-0.12811391,-0.353532,0.898058827023396,1.0,LTR46,LTR,LTR
AluSz,-0.13060501,0.02048225,0.8960877750896951,1.0,AluSz,Alu,SINE
LTR22B1,-0.13238437,-0.7627903,0.8946802727087317,1.0,LTR22B1,LTR,LTR
Eulor6C,-0.13309611,-0.76092345,0.8941173643343894,1.0,Eulor6C,Unknown,Unknown
LTR40c,-0.13380787,-0.44173717,0.8935545092820308,1.0,LTR40c,LTR,LTR
LTR13_,-0.1345196,-0.9407777,0.892991707831709,1.0,LTR13_,LTR,LTR
LTR22A,-0.1345196,-1.0611386,0.892991707831709,1.0,LTR22A,LTR,LTR
THE1A,-0.13558723,-0.030343875,0.8921476067724607,1.0,THE1A,Unknown,Unknown
Charlie4z,-0.13558723,-0.011667225,0.8921476067724607,1.0,Charlie4z,Unknown,Unknown
